feature,horizon,mean_ic,std_ic,ic_ir,t_stat_overlap_adjusted,p_value,hit_rate,ts_ic_mean,ts_ic_share_positive,n_obs,n_independent,median_ic,t_stat_naive,ic_skew,breadth_per_year,implied_information_ratio,n_assets_evaluated
zscore_63,21,-0.006226,0.446318,-0.013949,-0.150670,0.880236,0.517143,-0.040372,0.266667,2450,116.666667,0.025000,-0.690456,-0.060021,180.000000,-0.083528,15
zscore_63,42,-0.006600,0.461818,-0.014291,-0.109147,0.913086,0.497143,-0.016513,0.266667,2450,58.333333,-0.003571,-0.707351,0.033588,90.000000,-0.062610,15
zscore_63,63,0.019754,0.456602,0.043263,0.269794,0.787319,0.515510,0.005185,0.333333,2450,38.888889,0.025000,2.141421,-0.072880,60.000000,0.153015,15
zscore_ranked_10,1,-0.026502,0.433910,-0.061078,-3.023223,0.002501,0.464898,-0.037993,0.200000,2450,2450.000000,-0.042857,-3.023223,0.059207,3780.000000,-1.629418,15
zscore_ranked_10,5,-0.005800,0.439188,-0.013206,-0.292319,0.770043,0.502857,-0.031752,0.266667,2450,490.000000,0.003571,-0.653645,-0.014637,756.000000,-0.159467,15
zscore_ranked_10,10,0.020589,0.442006,0.046580,0.729098,0.465942,0.524490,-0.007258,0.533333,2450,245.000000,0.032143,2.305611,-0.078429,378.000000,0.400292,15
zscore_ranked_10,21,0.000428,0.439464,0.000973,0.010514,0.991611,0.515510,-0.024312,0.400000,2450,116.666667,0.028571,0.048182,-0.079676,180.000000,0.005739,15
zscore_ranked_10,42,-0.004511,0.445922,-0.010117,-0.077271,0.938408,0.500408,-0.012863,0.333333,2450,58.333333,0.003571,-0.500771,-0.040268,90.000000,-0.042799,15
zscore_ranked_10,63,0.003179,0.441179,0.007205,0.044930,0.964163,0.517143,-0.005606,0.466667,2450,38.888889,0.024176,0.356622,-0.085578,60.000000,0.024622,15
zscore_ranked_21,1,-0.013067,0.431933,-0.030252,-1.497413,0.134286,0.483265,-0.025576,0.266667,2450,2450.000000,-0.025000,-1.497413,0.016382,3780.000000,-0.803380,15
zscore_ranked_21,5,0.008905,0.433869,0.020525,0.454348,0.649578,0.505714,-0.016605,0.400000,2450,490.000000,0.007143,1.015953,-0.032288,756.000000,0.244856,15
zscore_ranked_21,10,0.022365,0.430351,0.051969,0.813443,0.415964,0.528163,-0.001279,0.600000,2450,245.000000,0.039286,2.572332,-0.112507,378.000000,0.434823,15
zscore_ranked_21,21,-0.010425,0.431454,-0.024161,-0.260973,0.794113,0.500408,-0.030733,0.266667,2450,116.666667,0.002885,-1.195928,-0.053007,180.000000,-0.139860,15
zscore_ranked_21,42,-0.018835,0.451796,-0.041689,-0.318404,0.750179,0.486531,-0.018074,0.400000,2450,58.333333,-0.021429,-2.063492,0.002995,90.000000,-0.178683,15
zscore_ranked_21,63,0.003957,0.440168,0.008990,0.056062,0.955293,0.511837,-0.003129,0.533333,2450,38.888889,0.017857,0.444976,-0.067966,60.000000,0.030651,15
zscore_ranked_5,1,-0.032736,0.435939,-0.075094,-3.716956,0.000202,0.464082,-0.040197,0.066667,2450,2450.000000,-0.043956,-3.716956,0.070163,3780.000000,-2.012685,15
zscore_ranked_5,5,-0.016521,0.436995,-0.037807,-0.836885,0.402657,0.493469,-0.037941,0.266667,2450,490.000000,-0.014286,-1.871332,0.010162,756.000000,-0.454261,15
zscore_ranked_5,10,0.000897,0.434744,0.002063,0.032286,0.974244,0.503265,-0.017880,0.333333,2450,245.000000,0.007143,0.102096,-0.007008,378.000000,0.017434,15
zscore_ranked_5,21,-0.005842,0.442135,-0.013212,-0.142710,0.886519,0.497551,-0.023231,0.333333,2450,116.666667,-0.003571,-0.653980,-0.045772,180.000000,-0.078374,15
zscore_ranked_5,42,-0.003885,0.446666,-0.008697,-0.066426,0.947039,0.496735,-0.014522,0.333333,2450,58.333333,-0.003571,-0.430488,-0.014764,90.000000,-0.036854,15
zscore_ranked_5,63,0.002533,0.438626,0.005776,0.036017,0.971269,0.508163,-0.008007,0.333333,2450,38.888889,0.007143,0.285874,-0.043830,60.000000,0.019623,15
zscore_ranked_63,1,-0.004740,0.446147,-0.010624,-0.525838,0.599001,0.504898,-0.018357,0.266667,2450,2450.000000,0.010714,-0.525838,-0.075797,3780.000000,-0.291402,15
zscore_ranked_63,5,-0.000063,0.447890,-0.000141,-0.003114,0.997516,0.514286,-0.020352,0.333333,2450,490.000000,0.017857,-0.006963,-0.050856,756.000000,-0.001732,15
zscore_ranked_63,10,-0.000865,0.435544,-0.001985,-0.031078,0.975207,0.505714,-0.014716,0.466667,2450,245.000000,0.008929,-0.098277,-0.049086,378.000000,-0.016813,15
zscore_ranked_63,21,-0.006226,0.446318,-0.013949,-0.150670,0.880236,0.517143,-0.020883,0.333333,2450,116.666667,0.025000,-0.690456,-0.060021,180.000000,-0.083528,15
zscore_ranked_63,42,-0.006600,0.461818,-0.014291,-0.109147,0.913086,0.497143,-0.000427,0.400000,2450,58.333333,-0.003571,-0.707351,0.033588,90.000000,-0.062610,15
zscore_ranked_63,63,0.019754,0.456602,0.043263,0.269794,0.787319,0.515510,0.017504,0.666667,2450,38.888889,0.025000,2.141421,-0.072880,60.000000,0.153015,15
