,,start,end,n_obs,cagr,ann_return_arith,ann_vol,sharpe,sortino,calmar,omega,max_drawdown,max_drawdown_date,time_underwater_share,hit_rate,best_day,worst_day,skew,excess_kurtosis,var_95,cvar_95,tail_ratio,total_return,sample,model
validation,M2_risk_parity,2016-01-04,2021-12-31,1511,0.07041011159967847,0.06973242190968236,0.05898108805450265,1.1822844272598825,1.0589285101267112,0.5472848181725949,1.251829566368685,-0.12865350775630968,2020-03-18,0.8451356717405691,0.5658504301786896,0.024574927352175386,-0.03873597772774742,-1.648873623760112,19.35439371249535,0.004652236721952259,0.008595201890169225,1.1065681903735647,0.5032044536218538,validation,M2_risk_parity
validation,M3_momentum,2016-01-04,2021-12-31,1511,0.030576883369276775,0.03164665573464685,0.05578783810492719,0.5672680069646187,0.568851326786196,0.4068884065607695,1.1040014648956964,-0.07514808206930335,2019-04-16,0.9463931171409663,0.5268034414295168,0.023177516686313737,-0.01842561479681676,0.17832689710109936,4.4349782830192614,0.005372467761592965,0.007957199329876475,1.0146902770163424,0.19772478711044905,validation,M3_momentum
validation,M4_mean_reversion,2016-01-04,2021-12-31,1511,-0.002457984932008439,-0.0004968289345072373,0.06256706198446656,-0.007940742600804627,-0.007714917281092032,-0.01604165334093131,0.9984096926114469,-0.15322516200600922,2020-03-23,0.9900727994705493,0.5016545334215751,0.03314533413605192,-0.049970589097055124,-1.0406571857412485,29.667155409318248,0.004946403754305713,0.00867728767374737,1.0338248609722436,-0.014634343512773595,validation,M4_mean_reversion
validation,M5_momentum_plus_mr,2016-01-04,2021-12-31,1511,0.02115710398429438,0.02277176085669767,0.06091066041305562,0.37385509699410124,0.3844279375487124,0.1707438926452867,1.0735144674005397,-0.12391133677763444,2020-03-23,0.9649238914626076,0.49768365320979485,0.03547107133882642,-0.037626415020098905,-0.03763807622026306,16.468932612609176,0.00505389226964021,0.00822924422786564,1.0601241226206402,0.13362195582416048,validation,M5_momentum_plus_mr
validation,M6_combined_alpha_mvo,2016-01-04,2021-12-31,1511,0.05593925582840953,0.057712470322857895,0.08135572523487501,0.7093842523834835,0.6359306641910701,0.30321637917382166,1.1705850222388603,-0.18448626021070524,2020-03-23,0.8967571144937128,0.5651886168100596,0.047262396848168985,-0.0593140251053083,-1.6475141588666702,40.243214826039996,0.005837578631088553,0.011313681019029562,0.970598760479309,0.38550179910365445,validation,M6_combined_alpha_mvo
validation,M7_combined_alpha_shrinkage_mvo,2016-01-04,2021-12-31,1511,0.054619841953962966,0.05650608442038987,0.0818735312436,0.6901630302504743,0.6183157299554994,0.294195032880417,1.1666669935057077,-0.18565861367266723,2020-03-23,0.900066181336863,0.5638649900727994,0.04777632502134341,-0.06004829912357566,-1.6767860493921936,40.81104501244518,0.005835485603329206,0.011437633147027726,0.9480315457790863,0.37516342144841075,validation,M7_combined_alpha_shrinkage_mvo
validation,M8_black_litterman,2016-01-04,2021-12-31,1511,0.07777316833889691,0.08303405090039052,0.1270568937377186,0.653518659694265,0.5688599586603943,0.2857870504078772,1.1828218718246573,-0.27213678236259664,2020-03-23,0.8835208471211119,0.5678358702845797,0.08394163335485176,-0.11708722009071942,-2.6267141236939295,69.10564397269007,0.007880805967282098,0.01760709604122985,0.9811443080091906,0.5662190853884361,validation,M8_black_litterman
validation,M9_mean_cvar,2016-01-04,2021-12-31,1511,0.036113701212364235,0.03598169731488424,0.032704359273075766,1.1002110457032124,1.0024902034705307,0.47529936789018706,1.2439124297850663,-0.07598095779649328,2020-03-18,0.8643282594308405,0.5618795499669094,0.01998183100695336,-0.024842422093683758,-1.5511436664439344,32.87540042280208,0.002619031485582896,0.004613600354564074,1.0380260128294279,0.2367925455563844,validation,M9_mean_cvar
validation,SPY_buy_hold,2016-01-04,2021-12-31,1511,0.1729434050707428,0.1757421150316918,0.18016606007196295,0.9754451807487818,0.886548165849966,0.5129225191404027,1.224218072453587,-0.3371725721081138,2020-03-23,0.8107213765718068,0.5658504301786896,0.09060296013714897,-0.1094237581228229,-0.7717111905525013,18.47295282983653,0.01660269093944793,0.02859892721374216,0.8906157320650849,1.6001505867275472,validation,SPY_buy_hold
final_holdout,M0_equal_weight,2022-01-03,2026-09-21,1183,0.07408721581798883,0.07747803149088862,0.10669770509265375,0.7261452476752762,0.7014005020263547,0.3772801977499567,1.1337249439973254,-0.1963718643592588,2022-10-14,0.9129332206255283,0.5409974640743872,0.043192699659820706,-0.041692725389571444,-0.13978247089148052,4.328262994967783,0.010748842857513806,0.01523275449824515,0.9702224452114264,0.4006783001560672,final_holdout,M0_equal_weight
